Seed,Feature Type,Label,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Weight Norm,Cosine Sim Input-Recons,Cosine Sim Input-Diff,Cosine Sim Recons-Diff
24,sae_recons,target,3.7180016040802,0.7535000443458557,6.268728733062744,0.6640000343322754,2.6059486865997314,0.6247168779373169,0.3664814233779907,-0.020632628351449966
24,sae_diff,target,0.41534844040870667,0.8960000276565552,2.217994213104248,0.6960000395774841,3.382951498031616,0.6247168779373169,0.3664814233779907,-0.020632628351449966
25,sae_input,target,1.7475640773773193,0.8295000195503235,5.214709758758545,0.6700000166893005,2.8628809452056885,0.6271185278892517,0.4025959372520447,-0.017982764169573784
25,sae_recons,target,2.0796122550964355,0.8190000653266907,4.291764259338379,0.7040000557899475,2.6475536823272705,0.6271185278892517,0.4025959372520447,-0.017982764169573784
25,sae_diff,target,0.40897542238235474,0.9020000696182251,2.3398115634918213,0.6580000519752502,3.363943099975586,0.6271185278892517,0.4025959372520447,-0.017982764169573784
26,sae_input,target,6.4641828536987305,0.6770000457763672,10.583562850952148,0.612000048160553,2.7557575702667236,0.6190581321716309,0.3912755250930786,0.006947577930986881
26,sae_recons,target,2.726444959640503,0.7295000553131104,4.835326194763184,0.6520000100135803,2.4750287532806396,0.6190581321716309,0.3912755250930786,0.006947577930986881
26,sae_diff,target,0.46868759393692017,0.8890000581741333,2.373748302459717,0.6700000166893005,3.318145990371704,0.6190581321716309,0.3912755250930786,0.006947577930986881
27,sae_input,target,4.014152526855469,0.7545000314712524,6.966918468475342,0.6700000166893005,2.7864320278167725,0.6306363344192505,0.38750022649765015,-0.010698726400732994
27,sae_recons,target,1.9687832593917847,0.8050000667572021,4.301644325256348,0.6760000586509705,2.6083619594573975,0.6306363344192505,0.38750022649765015,-0.010698726400732994
27,sae_diff,target,0.5226302742958069,0.8765000700950623,2.2689597606658936,0.6760000586509705,3.3121378421783447,0.6306363344192505,0.38750022649765015,-0.010698726400732994
28,sae_input,target,3.338881254196167,0.7890000343322754,5.656398773193359,0.7020000219345093,2.8744313716888428,0.6493780612945557,0.39128515124320984,-0.0015063844621181488
28,sae_recons,target,2.1108500957489014,0.8025000095367432,4.1478142738342285,0.690000057220459,2.6483025550842285,0.6493780612945557,0.39128515124320984,-0.0015063844621181488
28,sae_diff,target,0.45892786979675293,0.9010000228881836,2.3493194580078125,0.7100000381469727,3.401381731033325,0.6493780612945557,0.39128515124320984,-0.0015063844621181488
29,sae_input,target,4.006443500518799,0.7620000243186951,6.719008922576904,0.6600000262260437,2.8725905418395996,0.6341580748558044,0.40437912940979004,0.007786872796714306
29,sae_recons,target,3.874859094619751,0.7605000138282776,6.253176212310791,0.6520000100135803,2.6993508338928223,0.6341580748558044,0.40437912940979004,0.007786872796714306
29,sae_diff,target,0.41078826785087585,0.8910000324249268,2.178950786590576,0.6620000600814819,3.344801425933838,0.6341580748558044,0.40437912940979004,0.007786872796714306
30,sae_input,target,2.801730155944824,0.800000011920929,4.8337483406066895,0.7000000476837158,2.7453866004943848,0.5979263782501221,0.377748966217041,-0.031235303729772568
30,sae_recons,target,2.3718795776367188,0.7875000238418579,3.95805287361145,0.7020000219345093,2.5307505130767822,0.5979263782501221,0.377748966217041,-0.031235303729772568
30,sae_diff,target,0.4805578291416168,0.8800000548362732,2.2761619091033936,0.6500000357627869,3.3001670837402344,0.5979263782501221,0.377748966217041,-0.031235303729772568
31,sae_input,target,5.571091175079346,0.6920000314712524,8.376380920410156,0.5920000076293945,2.771904230117798,0.6076371669769287,0.38676631450653076,-0.019423708319664
31,sae_recons,target,4.496734619140625,0.7360000610351562,6.971466064453125,0.6260000467300415,2.6434943675994873,0.6076371669769287,0.38676631450653076,-0.019423708319664
31,sae_diff,target,0.5007764101028442,0.8840000629425049,2.609757900238037,0.6660000085830688,3.319589376449585,0.6076371669769287,0.38676631450653076,-0.019423708319664
32,sae_input,target,2.0937769412994385,0.831000030040741,3.971126079559326,0.7440000176429749,2.8234167098999023,0.6390669941902161,0.3726436495780945,-0.022892437875270844
32,sae_recons,target,2.8193960189819336,0.7575000524520874,4.834084987640381,0.6620000600814819,2.580203056335449,0.6390669941902161,0.3726436495780945,-0.022892437875270844
32,sae_diff,target,0.5074740648269653,0.8705000281333923,2.510098695755005,0.6600000262260437,3.3593931198120117,0.6390669941902161,0.3726436495780945,-0.022892437875270844
33,sae_input,target,2.934479236602783,0.7865000367164612,5.969855785369873,0.6960000395774841,2.91359543800354,0.6516199111938477,0.3800220489501953,-0.025603162124753
33,sae_recons,target,4.741998195648193,0.718000054359436,6.881402492523193,0.6680000424385071,2.7754950523376465,0.6516199111938477,0.3800220489501953,-0.025603162124753
33,sae_diff,target,0.48905953764915466,0.8860000371932983,2.3963356018066406,0.656000018119812,3.3114442825317383,0.6516199111938477,0.3800220489501953,-0.025603162124753
34,sae_input,target,2.1549205780029297,0.796500027179718,4.865732669830322,0.6720000505447388,2.820408344268799,0.6202151775360107,0.4155145287513733,0.019145768135786057
34,sae_recons,target,2.5669987201690674,0.7735000252723694,4.691110610961914,0.6800000071525574,2.5990798473358154,0.6202151775360107,0.4155145287513733,0.019145768135786057
34,sae_diff,target,0.45798784494400024,0.8920000195503235,2.3345510959625244,0.6580000519752502,3.38442325592041,0.6202151775360107,0.4155145287513733,0.019145768135786057
35,sae_input,target,1.842801809310913,0.8365000486373901,5.010122299194336,0.718000054359436,2.8360416889190674,0.6425799131393433,0.36987146735191345,-0.03187163919210434
35,sae_recons,target,2.183809518814087,0.796000063419342,4.433243274688721,0.7080000042915344,2.595384120941162,0.6425799131393433,0.36987146735191345,-0.03187163919210434
35,sae_diff,target,0.486459881067276,0.8835000395774841,2.415803909301758,0.6920000314712524,3.411655902862549,0.6425799131393433,0.36987146735191345,-0.03187163919210434
36,sae_input,target,2.03186297416687,0.8160000443458557,4.797835350036621,0.690000057220459,2.728659152984619,0.6254944801330566,0.3834400773048401,-0.01706165447831154
36,sae_recons,target,3.674884080886841,0.7360000610351562,5.291922569274902,0.6620000600814819,2.514434814453125,0.6254944801330566,0.3834400773048401,-0.01706165447831154
36,sae_diff,target,0.5809234380722046,0.8820000290870667,2.2998406887054443,0.6480000019073486,3.375513792037964,0.6254944801330566,0.3834400773048401,-0.01706165447831154
37,sae_input,target,3.290090799331665,0.76500004529953,5.613175868988037,0.6640000343322754,2.8483595848083496,0.6231123208999634,0.3943592309951782,-0.022974446415901184
37,sae_recons,target,6.306002140045166,0.6430000066757202,8.719738960266113,0.5660000443458557,2.650099277496338,0.6231123208999634,0.3943592309951782,-0.022974446415901184
37,sae_diff,target,0.4869332015514374,0.8820000290870667,2.594589948654175,0.6460000276565552,3.33784818649292,0.6231123208999634,0.3943592309951782,-0.022974446415901184
38,sae_input,target,1.936234951019287,0.8260000348091125,4.177879810333252,0.7240000367164612,2.884457588195801,0.6248975992202759,0.37699559330940247,-0.0323064886033535
38,sae_recons,target,4.047347068786621,0.7470000386238098,5.8952131271362305,0.6880000233650208,2.6501524448394775,0.6248975992202759,0.37699559330940247,-0.0323064886033535
38,sae_diff,target,0.44563937187194824,0.8940000534057617,2.3153417110443115,0.6680000424385071,3.419072389602661,0.6248975992202759,0.37699559330940247,-0.0323064886033535
39,sae_input,target,1.805750846862793,0.8340000510215759,4.153351783752441,0.7240000367164612,2.7322888374328613,0.6146387457847595,0.4026280641555786,-0.01177582424134016
39,sae_recons,target,2.591545581817627,0.7780000567436218,4.437777519226074,0.690000057220459,2.4805078506469727,0.6146387457847595,0.4026280641555786,-0.01177582424134016
39,sae_diff,target,0.435779869556427,0.8950000405311584,2.1100151538848877,0.7040000557899475,3.4000539779663086,0.6146387457847595,0.4026280641555786,-0.01177582424134016
40,sae_input,target,4.281672477722168,0.752500057220459,6.104017734527588,0.6580000519752502,2.8411402702331543,0.6431090235710144,0.3877359628677368,-0.03074602782726288
40,sae_recons,target,4.305335998535156,0.752500057220459,6.305661201477051,0.6680000424385071,2.7834084033966064,0.6431090235710144,0.3877359628677368,-0.03074602782726288
40,sae_diff,target,0.48294568061828613,0.8920000195503235,2.403568983078003,0.6660000085830688,3.380401134490967,0.6431090235710144,0.3877359628677368,-0.03074602782726288
41,sae_input,target,1.8828082084655762,0.8285000324249268,3.597072124481201,0.718000054359436,2.7623982429504395,0.6384697556495667,0.40954259037971497,0.030292145907878876
41,sae_recons,target,1.9962923526763916,0.812000036239624,3.0948092937469482,0.7240000367164612,2.528965950012207,0.6384697556495667,0.40954259037971497,0.030292145907878876
41,sae_diff,target,0.4322196841239929,0.8980000615119934,2.09409499168396,0.6800000071525574,3.4047329425811768,0.6384697556495667,0.40954259037971497,0.030292145907878876
