Sample_Index,Feature_Type,Scaling_Factor,Baseline_LogProb_Token1,Baseline_LogProb_Token2,Baseline_Logit_Diff,Steered_LogProb_Token1,Steered_LogProb_Token2,Steered_Logit_Diff,Delta_LogProb_Token1,Delta_LogProb_Token2,Delta_Logit_Diff
4,sae_input,10.0,-0.7782896,-0.65340406,-0.12488556,-0.7847749,-0.64751637,-0.13725853,-0.0064852834,0.005887687,-0.012372971
5,sae_input,10.0,-2.2947917,-0.13742965,-2.157362,-2.311131,-0.13513431,-2.1759968,-0.016339302,0.002295345,-0.018634796
6,sae_input,10.0,-2.674511,-0.099594064,-2.5749168,-2.6936502,-0.09774107,-2.595909,-0.01913929,0.0018529966,-0.020992279
7,sae_input,10.0,-0.88043433,-0.5750697,-0.3053646,-0.88328403,-0.57253116,-0.31075287,-0.002849698,0.0025385618,-0.00538826
8,sae_input,10.0,-0.48760802,-0.99776846,0.51016045,-0.49161378,-0.9908222,0.49920845,-0.00400576,0.0069462657,-0.010951996
9,sae_input,10.0,-0.82223046,-0.6200458,-0.20218468,-0.8275416,-0.61537194,-0.21216965,-0.0053111315,0.0046738386,-0.00998497
10,sae_input,10.0,-0.76920485,-0.66309524,-0.10610962,-0.7747035,-0.65801954,-0.11668396,-0.0054986477,0.005075693,-0.010574341
11,sae_input,10.0,-0.73705035,-0.6934293,-0.043621063,-0.7430457,-0.68754184,-0.055503845,-0.005995333,0.005887449,-0.011882782
12,sae_input,10.0,-1.9355003,-0.18819721,-1.747303,-1.949573,-0.1853595,-1.7642136,-0.014072776,0.0028377175,-0.016910553
13,sae_input,10.0,-0.7711107,-0.6637785,-0.10733223,-0.774403,-0.66050565,-0.11389732,-0.0032922626,0.0032728314,-0.006565094
14,sae_input,10.0,-0.73460865,-0.69889736,-0.03571129,-0.7392708,-0.69415057,-0.04512024,-0.004662156,0.0047467947,-0.009408951
15,sae_input,10.0,-2.2698362,-0.14093187,-2.1289043,-2.28926,-0.13825522,-2.1510048,-0.019423723,0.0026766509,-0.022100449
0,sae_input,20.0,-1.5672863,-0.27245402,-1.2948322,-1.5930935,-0.2647091,-1.3283844,-0.025807261,0.007744938,-0.03355217
1,sae_input,20.0,-0.8046344,-0.6347926,-0.16984177,-0.8135546,-0.6265829,-0.18697166,-0.008920193,0.008209705,-0.017129898
2,sae_input,20.0,-0.6301875,-0.8032508,0.17306328,-0.6400028,-0.7910057,0.15100288,-0.009815276,0.012245119,-0.022060394
3,sae_input,20.0,-0.7002847,-0.72708297,0.026798248,-0.710033,-0.71653134,0.006498337,-0.00974828,0.010551631,-0.020299911
4,sae_input,20.0,-0.7782896,-0.65340406,-0.12488556,-0.7919207,-0.6411219,-0.1507988,-0.013631105,0.012282133,-0.025913239
5,sae_input,20.0,-2.2947917,-0.13742965,-2.157362,-2.32871,-0.13273953,-2.1959705,-0.03391838,0.0046901256,-0.03860855
6,sae_input,20.0,-2.674511,-0.099594064,-2.5749168,-2.7142203,-0.0958387,-2.6183815,-0.03970933,0.0037553608,-0.04346466
7,sae_input,20.0,-0.88043433,-0.5750697,-0.3053646,-0.8867684,-0.5695172,-0.3172512,-0.0063340664,0.0055525303,-0.011886597
8,sae_input,20.0,-0.48760802,-0.99776846,0.51016045,-0.49577886,-0.9836615,0.4878826,-0.008170843,0.014106989,-0.022277832
9,sae_input,20.0,-0.82223046,-0.6200458,-0.20218468,-0.8334887,-0.6102183,-0.22327042,-0.0112582445,0.009827495,-0.02108574
10,sae_input,20.0,-0.76920485,-0.66309524,-0.10610962,-0.7807908,-0.6524739,-0.12831688,-0.011585951,0.010621309,-0.02220726
11,sae_input,20.0,-0.73705035,-0.6934293,-0.043621063,-0.7495883,-0.6811984,-0.06838989,-0.012537956,0.012230873,-0.02476883
12,sae_input,20.0,-1.9355003,-0.18819721,-1.747303,-1.965012,-0.18232577,-1.7826862,-0.02951169,0.005871445,-0.035383224
13,sae_input,20.0,-0.7711107,-0.6637785,-0.10733223,-0.77828395,-0.6567153,-0.12156868,-0.00717324,0.00706321,-0.01423645
14,sae_input,20.0,-0.73460865,-0.69889736,-0.03571129,-0.74448496,-0.68891054,-0.055574417,-0.009876311,0.009986818,-0.019863129
15,sae_input,20.0,-2.2698362,-0.14093187,-2.1289043,-2.3101857,-0.13545543,-2.1747303,-0.040349483,0.005476445,-0.04582596
0,sae_input,30.0,-1.5672863,-0.27245402,-1.2948322,-1.60755,-0.26050982,-1.3470402,-0.040263772,0.011944205,-0.052207947
1,sae_input,30.0,-0.8046344,-0.6347926,-0.16984177,-0.81893736,-0.6217385,-0.19719887,-0.014302969,0.013054132,-0.027357101
2,sae_input,30.0,-0.6301875,-0.8032508,0.17306328,-0.64509124,-0.7847225,0.13963127,-0.014903724,0.018528283,-0.033432007
3,sae_input,30.0,-0.7002847,-0.72708297,0.026798248,-0.71543866,-0.71079236,-0.0046463013,-0.0151539445,0.016290605,-0.03144455
4,sae_input,30.0,-0.7782896,-0.65340406,-0.12488556,-0.7996579,-0.63429457,-0.16536331,-0.021368265,0.019109488,-0.040477753
5,sae_input,30.0,-2.2947917,-0.13742965,-2.157362,-2.3475115,-0.13025507,-2.2172565,-0.05271983,0.0071745813,-0.05989456
6,sae_input,30.0,-2.674511,-0.099594064,-2.5749168,-2.736098,-0.093909055,-2.642189,-0.061587095,0.005685009,-0.06727219
7,sae_input,30.0,-0.88043433,-0.5750697,-0.3053646,-0.8908344,-0.56607205,-0.32476234,-0.010400057,0.008997679,-0.019397736
8,sae_input,30.0,-0.48760802,-0.99776846,0.51016045,-0.50006485,-0.9763546,0.47628975,-0.012456834,0.021413863,-0.033870697
9,sae_input,30.0,-0.82223046,-0.6200458,-0.20218468,-0.8400464,-0.60461473,-0.23543167,-0.017815948,0.0154310465,-0.033246994
10,sae_input,30.0,-0.76920485,-0.66309524,-0.10610962,-0.78742945,-0.6465031,-0.14092636,-0.018224597,0.016592145,-0.034816742
11,sae_input,30.0,-0.73705035,-0.6934293,-0.043621063,-0.7566285,-0.674458,-0.08217049,-0.019578159,0.018971264,-0.038549423
12,sae_input,30.0,-1.9355003,-0.18819721,-1.747303,-1.981791,-0.179112,-1.8026791,-0.046290755,0.009085208,-0.055376053
13,sae_input,30.0,-0.7711107,-0.6637785,-0.10733223,-0.7827348,-0.6524324,-0.13030243,-0.011624098,0.011346102,-0.0229702
14,sae_input,30.0,-0.73460865,-0.69889736,-0.03571129,-0.7502585,-0.68317896,-0.067079544,-0.015649855,0.0157184,-0.031368256
15,sae_input,30.0,-2.2698362,-0.14093187,-2.1289043,-2.3325772,-0.13254973,-2.2000275,-0.06274104,0.008382142,-0.07112312
0,sae_recons,-30.0,-1.5672863,-0.27245402,-1.2948322,-1.601009,-0.26351705,-1.337492,-0.03372276,0.008936971,-0.04265976
1,sae_recons,-30.0,-0.8046344,-0.6347926,-0.16984177,-0.8233465,-0.6185602,-0.2047863,-0.018712103,0.016232431,-0.034944534
2,sae_recons,-30.0,-0.6301875,-0.8032508,0.17306328,-0.62780404,-0.803776,0.17597198,0.0023834705,-0.00052523613,0.0029087067
3,sae_recons,-30.0,-0.7002847,-0.72708297,0.026798248,-0.7035158,-0.7230032,0.019487381,-0.0032311082,0.004079759,-0.0073108673
4,sae_recons,-30.0,-0.7782896,-0.65340406,-0.12488556,-0.79333556,-0.63980544,-0.15353012,-0.015045941,0.013598621,-0.028644562
5,sae_recons,-30.0,-2.2947917,-0.13742965,-2.157362,-2.3716211,-0.12935552,-2.2422657,-0.07682943,0.008074135,-0.08490372
6,sae_recons,-30.0,-2.674511,-0.099594064,-2.5749168,-2.7574544,-0.09392967,-2.6635246,-0.08294344,0.0056643933,-0.08860779
7,sae_recons,-30.0,-0.88043433,-0.5750697,-0.3053646,-0.9031476,-0.5579957,-0.3451519,-0.022713244,0.017074049,-0.039787292
8,sae_recons,-30.0,-0.48760802,-0.99776846,0.51016045,-0.4816088,-1.0055652,0.5239563,0.0059992075,-0.007796705,0.013795853
9,sae_recons,-30.0,-0.82223046,-0.6200458,-0.20218468,-0.8399368,-0.60545117,-0.23448563,-0.017706335,0.0145946145,-0.03230095
10,sae_recons,-30.0,-0.76920485,-0.66309524,-0.10610962,-0.7861436,-0.64747363,-0.13866997,-0.016938746,0.015621603,-0.03256035
11,sae_recons,-30.0,-0.73705035,-0.6934293,-0.043621063,-0.74896234,-0.6812858,-0.067676544,-0.011911988,0.012143493,-0.024055481
12,sae_recons,-30.0,-1.9355003,-0.18819721,-1.747303,-1.9910822,-0.1789007,-1.8121815,-0.055581927,0.009296507,-0.064878464
13,sae_recons,-30.0,-0.7711107,-0.6637785,-0.10733223,-0.7898567,-0.6466701,-0.14318657,-0.018745959,0.01710838,-0.03585434
14,sae_recons,-30.0,-0.73460865,-0.69889736,-0.03571129,-0.75012046,-0.6832774,-0.06684303,-0.015511811,0.015619934,-0.031131744
15,sae_recons,-30.0,-2.2698362,-0.14093187,-2.1289043,-2.3376808,-0.13350098,-2.2041798,-0.06784463,0.007430896,-0.07527542
0,sae_recons,-20.0,-1.5672863,-0.27245402,-1.2948322,-1.5884283,-0.26674053,-1.3216877,-0.021142006,0.0057134926,-0.026855469
1,sae_recons,-20.0,-0.8046344,-0.6347926,-0.16984177,-0.8159225,-0.62475467,-0.19116783,-0.011288106,0.010037959,-0.021326065
2,sae_recons,-20.0,-0.6301875,-0.8032508,0.17306328,-0.6280352,-0.80413115,0.17609596,0.0021523237,-0.0008803606,0.0030326843
3,sae_recons,-20.0,-0.7002847,-0.72708297,0.026798248,-0.70170933,-0.72497517,0.023265839,-0.0014246106,0.002107799,-0.0035324097
4,sae_recons,-20.0,-0.7782896,-0.65340406,-0.12488556,-0.787089,-0.64523566,-0.14185333,-0.008799374,0.008168399,-0.016967773
5,sae_recons,-20.0,-2.2947917,-0.13742965,-2.157362,-2.344178,-0.13212082,-2.212057,-0.049386263,0.0053088367,-0.05469513
